coordinate,license,license_files,upstream
androidx.activity:activity:1.8.2,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.annotation:annotation:1.9.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.annotation:annotation-experimental:1.4.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.annotation:annotation-jvm:1.9.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.appcompat:appcompat:1.6.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.appcompat:appcompat-resources:1.6.1,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.arch.core:core-common:2.2.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.arch.core:core-runtime:2.2.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.asynclayoutinflater:asynclayoutinflater:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.cardview:cardview:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.collection:collection:1.5.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.collection:collection-jvm:1.5.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.concurrent:concurrent-futures:1.2.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.coordinatorlayout:coordinatorlayout:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.core:core:1.16.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.core:core-ktx:1.16.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.core:core-viewtree:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.cursoradapter:cursoradapter:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.customview:customview:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.customview:customview-poolingcontainer:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.documentfile:documentfile:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.drawerlayout:drawerlayout:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.dynamicanimation:dynamicanimation:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.emoji2:emoji2:1.4.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.emoji2:emoji2-views-helper:1.4.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.exifinterface:exifinterface:1.3.6,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.fragment:fragment:1.3.6,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.interpolator:interpolator:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.leanback:leanback:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.legacy:legacy-support-core-ui:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.legacy:legacy-support-core-utils:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.legacy:legacy-support-v4:1.0.0,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.lifecycle:lifecycle-common:2.9.4,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.lifecycle:lifecycle-common-jvm:2.9.4,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
androidx.lifecycle:lifecycle-livedata:2.9.4,Apache-2.0,LICENSE,https://www.apache.org/licenses/LICENSE-2.0
